"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C3,C9,C5,C4";"C_0603_1608Metric";4;"1µ 25V";;;
2;"J1";"TE_2-1734839-6_1x26-1MP_P0.5mm_Horizontal";1;"C262568";;;
3;"C1,C2";"C_0603_1608Metric";2;"2µ2 35V";;;
4;"L1";"1210";1;"47µ";;;
5;"D1,D2";"D_SOD-323";2;"D_Schottky";;;
6;"U1";"TinyESP32";1;"TinypicoESP32_Symbol";;;
7;"C7";"C_0603_1608Metric";1;"100n 16V";;;
8;"Q2";"SI1308EDL-T1-GE3";1;"MOSFET N-CH 30V 1.4A SC-70-3";;;
9;"Q1";"SI1308EDL-T1-GE3";1;"FET P-CH 60V 620Ma";;;
